full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,county,town,vil
桃園市中壢區健行里,4223,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,202507.880983252,桃園市,中壢區,健行里
桃園市中壢區幸福里,4248,2022-08-28 14:05:00,2022-08-28 14:25:00,9.0,15.0,11.8,297204.2542501335,桃園市,中壢區,幸福里
桃園市中壢區幸福里,4246,2022-05-23 17:00:00,2022-05-23 17:00:00,66.0,66.0,66.0,297204.2542501335,桃園市,中壢區,幸福里
桃園市中壢區後寮里,4334,2022-05-23 17:00:00,2022-05-23 17:00:00,63.0,98.0,80.5,1425524.0468069408,桃園市,中壢區,後寮里
桃園市中壢區後寮里,4347,2022-06-28 11:15:00,2022-06-28 11:15:00,34.0,34.0,34.0,1425524.0468069408,桃園市,中壢區,後寮里
桃園市中壢區復興里,4420,2022-05-23 17:00:00,2022-05-23 17:00:00,88.0,88.0,88.0,383149.63738349586,桃園市,中壢區,復興里
桃園市中壢區復興里,4424,2022-06-28 11:15:00,2022-06-28 11:15:00,99.0,99.0,99.0,383149.63738349586,桃園市,中壢區,復興里
桃園市中壢區忠義里,4549,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,1141993.3293324145,桃園市,中壢區,忠義里
桃園市中壢區忠義里,4556,2022-06-28 11:15:00,2022-06-28 11:15:00,90.0,100.0,96.66666666666667,1141993.3293324145,桃園市,中壢區,忠義里
桃園市中壢區振興里,4625,2022-05-23 17:00:00,2022-05-23 17:00:00,96.0,96.0,96.0,916047.3598216526,桃園市,中壢區,振興里
桃園市中壢區普忠里,4799,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,1305009.286407625,桃園市,中壢區,普忠里
桃園市中壢區普忠里,4786,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,1305009.286407625,桃園市,中壢區,普忠里
桃園市中壢區林森里,4837,2022-05-23 17:00:00,2022-05-23 17:00:00,58.0,58.0,58.0,221491.9636592542,桃園市,中壢區,林森里
