station_id,ciOrgname,ciCategory,Organize_Name,CategoryInfos_Name,PQ_id,PQ_name,PQ_fullname,PQ_description,PQ_unit,timestamp,value
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:16:26.039,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:16:31.351,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:17:01.132,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:17:31.131,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:18:01.1,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:18:31.195,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:19:00.833,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:19:30.114,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:20:00,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:20:00.332,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:20:30.098,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:23:29.003,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:23:31.427,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:23:48.238,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:23:48.909,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:24:36.424,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:24:43.955,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:25:00.986,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:25:36.471,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:26:01.002,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:26:30.986,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:27:01.439,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:27:31.079,0.0
8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,水利署,淹水感測器,第七河川局,淹水深度,a3eceaca-6505-4f94-8a77-78a1da99c7d0,淹水深度,旗山區_石岩寺_淹水深度,路面淹水監測站_石岩寺_路面淹水水位,cm,2018-12-10 09:28:01.067,0.0
