full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
桃園市大溪區南興里,8758,2020-11-11 02:30:00,2020-11-13 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8759,2020-11-13 08:05:00,2020-11-14 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8760,2020-11-14 06:30:00,2020-11-16 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8761,2020-11-16 09:15:00,2020-11-16 18:40:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8762,2020-11-17 00:00:00,2020-11-18 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8763,2020-11-18 07:25:00,2020-11-19 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8764,2020-11-19 04:15:00,2020-11-19 20:50:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8765,2020-11-20 00:00:00,2020-11-20 18:25:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8766,2020-11-21 01:45:00,2020-11-22 18:05:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8749,2020-10-30 05:30:00,2020-11-02 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8748,2020-10-29 07:15:00,2020-10-30 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8747,2020-10-27 08:20:00,2020-10-29 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8746,2020-10-25 05:30:00,2020-10-27 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8729,2020-10-01 00:00:00,2020-10-02 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8730,2020-10-02 06:45:00,2020-10-04 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8731,2020-10-04 06:05:00,2020-10-07 19:45:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8732,2020-10-08 00:00:00,2020-10-08 19:55:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8733,2020-10-09 00:00:00,2020-10-09 18:40:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8734,2020-10-10 00:00:00,2020-10-10 21:55:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
